Euro;EUR;€
Dólar americano;USD;$
Libra esterlina;GBP;£
Yen japonés;JPY;¥
Real brasileño;BRL;R$
Zloty polaco;PLN;ł
Escudo caboverdiano;CVE;$
Peso argentino;ARS;$
Peso chileno;CLP;$
Peso colombiano;COP;$
Peso mexicano;MXN;$
Corona danesa;DKK;kr
Dólar canadiense;CAD;$
Rupia india;INR;R
Nuevos Soles Peruanos;PEN;S/.
Franco Suizo;CHF;CHF
Lira Turca;TRY;₺
Rublo ruso;RUB;R
Forinto húngaro;HUF;Ft
Kuna croata;HRK;Kn
Dólar australiano;AUD;$
Corona noruega;NOK;Kr
Dólar neozelandés;NZD;NZ$
Dólar hongkonés;HKD;HK$
Corona checa;CZK;Kč
Dirham marroquí;MAD;درهم
Dólar de Singapur;SGD;S$
Rand sudafricano;ZAR;R
Nuevo shekel israelí;ILS;₪
Yuan chino;CNY;¥
Leu rumano;RON;leu
Lev Búlgaro;BGN;лв
Corona sueca;SEK;kr
Corona islandesa;ISK;kr
Dírham de los Emiratos Árabes Unidos;AED;DH
Riyal saudí;SAR;SR
